idna_subject,checker_type,destination,source,tested_at
status,AVAILABILITY,6003388.com,/home/travis/build/PyFunceble/ci_test/6003388.com,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,6003888.com,/home/travis/build/PyFunceble/ci_test/6003888.com,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-19T21:21,AVAILABILITY,6003888.com,/home/travis/build/PyFunceble/ci_test/6003888.com,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,6003888.com,/home/travis/build/PyFunceble/ci_test/6003888.com,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:23,AVAILABILITY,6003888.com,/home/travis/build/PyFunceble/ci_test/6003888.com,2020-12-22T23:46:26.979058
status,AVAILABILITY,6003888.com,/home/travis/build/PyFunceble/ci_test/6003888.com,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,6004888.com,/home/travis/build/PyFunceble/ci_test/6004888.com,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-19T21:21,AVAILABILITY,6004888.com,/home/travis/build/PyFunceble/ci_test/6004888.com,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,6004888.com,/home/travis/build/PyFunceble/ci_test/6004888.com,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:23,AVAILABILITY,6004888.com,/home/travis/build/PyFunceble/ci_test/6004888.com,2020-12-22T23:46:26.979058
status,AVAILABILITY,6004888.com,/home/travis/build/PyFunceble/ci_test/6004888.com,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,6005888.com,/home/travis/build/PyFunceble/ci_test/6005888.com,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-19T21:21,AVAILABILITY,6005888.com,/home/travis/build/PyFunceble/ci_test/6005888.com,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,6005888.com,/home/travis/build/PyFunceble/ci_test/6005888.com,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:23,AVAILABILITY,6005888.com,/home/travis/build/PyFunceble/ci_test/6005888.com,2020-12-22T23:46:26.979058
status,AVAILABILITY,6005888.com,/home/travis/build/PyFunceble/ci_test/6005888.com,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,6006999.com,/home/travis/build/PyFunceble/ci_test/6006999.com,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-19T21:21,AVAILABILITY,6006999.com,/home/travis/build/PyFunceble/ci_test/6006999.com,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,6006999.com,/home/travis/build/PyFunceble/ci_test/6006999.com,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:23,AVAILABILITY,6006999.com,/home/travis/build/PyFunceble/ci_test/6006999.com,2020-12-22T23:46:26.979058
status,AVAILABILITY,6006999.com,/home/travis/build/PyFunceble/ci_test/6006999.com,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,6007788.com,/home/travis/build/PyFunceble/ci_test/6007788.com,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-19T21:21,AVAILABILITY,6007788.com,/home/travis/build/PyFunceble/ci_test/6007788.com,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,6007788.com,/home/travis/build/PyFunceble/ci_test/6007788.com,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:23,AVAILABILITY,6007788.com,/home/travis/build/PyFunceble/ci_test/6007788.com,2020-12-22T23:46:26.979058
status,AVAILABILITY,6007788.com,/home/travis/build/PyFunceble/ci_test/6007788.com,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,6007799.com,/home/travis/build/PyFunceble/ci_test/6007799.com,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-19T21:21,AVAILABILITY,6007799.com,/home/travis/build/PyFunceble/ci_test/6007799.com,2020-12-22T23:46:26.979058
